log_type;participant_id;keyboard_type;txt_file;key_limit;key_code;key_value;content;timestamp;word_time_in_s;sentence_time_in_s;words_per_minute
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;71;G;G;2021-05-18 21:27:55.343751;NaN;NaN;61224.4897959184
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;76;l;Gl;2021-05-18 21:27:55.436512;NaN;NaN;258.297817383443
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;220;ü;Glü;2021-05-18 21:27:55.571694;NaN;NaN;157.832434565303
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;67;c;Glüc;2021-05-18 21:27:55.707675;NaN;NaN;131.842053220242
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;75;k;Glück;2021-05-18 21:27:55.755538;NaN;NaN;145.654047361841
word_finished;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich;2021-05-18 21:27:56.279056;0.935321;NaN;115.452209199403
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;83;s;Glücklich s;2021-05-18 21:27:56.566839;NaN;NaN;98.1004483190488
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich se;2021-05-18 21:27:56.619703;NaN;NaN;103.440250325406
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glücklich sei;2021-05-18 21:27:56.683836;NaN;NaN;107.444084307791
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein;2021-05-18 21:27:56.731543;NaN;NaN;112.39687046765
word_finished;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich sein;2021-05-18 21:27:56.836260;0.269464;NaN;104.511899282687
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;72;h;Glücklich sein h;2021-05-18 21:27:57.110770;NaN;NaN;95.0673620165146
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein he;2021-05-18 21:27:57.219816;NaN;NaN;95.9379856860526
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glücklich sein hei;2021-05-18 21:27:57.300466;NaN;NaN;98.11621968426
word_finished;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich sein heißt;2021-05-18 21:27:57.991201;0.880402;NaN;81.583382371493
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein heißt e;2021-05-18 21:27:58.131853;NaN;NaN;81.7718085951496
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;73;i;Glücklich sein heißt ei;2021-05-18 21:27:58.171587;NaN;NaN;84.8661395772181
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein heißt ein;2021-05-18 21:27:58.228370;NaN;NaN;87.3550149404807
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;69;e;Glücklich sein heißt eine;2021-05-18 21:27:58.300390;NaN;NaN;89.2855331056552
key_pressed;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;78;n;Glücklich sein heißt einen;2021-05-18 21:27:58.379839;NaN;NaN;90.9020546828556
word_finished;4;auto_complete;marc_aurel_selbstbetrachtungen.txt;2;32; ;Glücklich sein heißt einen;2021-05-18 21:27:58.468334;0.336479;NaN;88.3277163092968
